merge,5,5,0.2,2.6226043701171875e-06
delete,5,5,0.2,1.9073486328125e-06
create,5,5,0.2,2.384185791015625e-06
merge,5,5,0.2,2.384185791015625e-06
delete,5,5,0.2,2.86102294921875e-06
create,5,5,0.2,2.1457672119140625e-06
merge,5,5,0.2,2.6226043701171875e-06
delete,5,5,0.2,2.6226043701171875e-06
create,5,5,0.2,2.6226043701171875e-06
merge,5,5,0.2,2.6226043701171875e-06
create,5,5,0.2,3.5762786865234375e-06
merge,5,5,0.2,2.384185791015625e-06
split,5,5,0.2,2.1457672119140625e-06
delete,5,5,0.2,2.86102294921875e-06
create,5,5,0.2,2.384185791015625e-06
merge,5,5,0.2,2.384185791015625e-06
split,5,5,0.2,2.1457672119140625e-06
